"Series;""Time"";""Value""",
"PM10;""2018-12-02T20:30:00+01:00"";6",59
"PM10;""2018-12-02T20:45:00+01:00"";6",113
"PM10;""2018-12-02T21:00:00+01:00"";6",133
"PM10;""2018-12-02T21:15:00+01:00"";6",167
"PM10;""2018-12-02T21:30:00+01:00"";6",162
"PM10;""2018-12-02T21:45:00+01:00"";6",173
"PM10;""2018-12-02T22:00:00+01:00"";6",185
"PM10;""2018-12-02T22:15:00+01:00"";6",204
"PM10;""2018-12-02T22:30:00+01:00"";6",202
"PM10;""2018-12-02T22:45:00+01:00"";6",189
"PM10;""2018-12-02T23:00:00+01:00"";6",159
"PM10;""2018-12-02T23:15:00+01:00"";6",132
"PM10;""2018-12-02T23:30:00+01:00"";6",13
"PM10;""2018-12-02T23:45:00+01:00"";6",13
"PM10;""2018-12-03T00:00:00+01:00"";6",129
"PM10;""2018-12-03T00:15:00+01:00"";6",127
"PM10;""2018-12-03T00:30:00+01:00"";6",146
"PM10;""2018-12-03T00:45:00+01:00"";6",166
"PM10;""2018-12-03T01:00:00+01:00"";6",165
"PM10;""2018-12-03T01:15:00+01:00"";6",149
"PM10;""2018-12-03T01:30:00+01:00"";6",118
"PM10;""2018-12-03T01:45:00+01:00"";6",87
"PM10;""2018-12-03T02:00:00+01:00"";6",61
"PM10;""2018-12-03T02:15:00+01:00"";6",32
"PM10;""2018-12-03T02:30:00+01:00"";5",971
"PM10;""2018-12-03T02:45:00+01:00"";5",939
"PM10;""2018-12-03T03:00:00+01:00"";5",909
"PM10;""2018-12-03T03:15:00+01:00"";5",874
"PM10;""2018-12-03T03:30:00+01:00"";5",837
"PM10;""2018-12-03T03:45:00+01:00"";5",8
"PM10;""2018-12-03T04:00:00+01:00"";5",76
"PM10;""2018-12-03T04:15:00+01:00"";5",728
"PM10;""2018-12-03T04:30:00+01:00"";5",714
"PM10;""2018-12-03T04:45:00+01:00"";5",697
"PM10;""2018-12-03T05:00:00+01:00"";5",685
"PM10;""2018-12-03T05:15:00+01:00"";5",668
"PM10;""2018-12-03T05:30:00+01:00"";5",656
"PM10;""2018-12-03T05:45:00+01:00"";5",634
"PM10;""2018-12-03T06:00:00+01:00"";5",615
"PM10;""2018-12-03T06:15:00+01:00"";5",593
"PM10;""2018-12-03T06:30:00+01:00"";6",8
"PM10;""2018-12-03T06:45:00+01:00"";6",63
"PM10;""2018-12-03T07:00:00+01:00"";6",69
"PM10;""2018-12-03T07:15:00+01:00"";6",43
"PM10;""2018-12-03T07:30:00+01:00"";6",22
"PM10;""2018-12-03T07:45:00+01:00"";5",997
"PM10;""2018-12-03T08:00:00+01:00"";5",996
"PM10;""2018-12-03T08:15:00+01:00"";5",979
"PM10;""2018-12-03T08:30:00+01:00"";5",962
"PM10;""2018-12-03T08:45:00+01:00"";5",928
"PM10;""2018-12-03T09:00:00+01:00"";5",901
"PM10;""2018-12-03T09:15:00+01:00"";5",859
"PM10;""2018-12-03T09:30:00+01:00"";5",847
"PM10;""2018-12-03T09:45:00+01:00"";5",837
"PM10;""2018-12-03T10:00:00+01:00"";5",806
"PM10;""2018-12-03T10:15:00+01:00"";5",759
"PM10;""2018-12-03T10:30:00+01:00"";5",724
"PM10;""2018-12-03T10:45:00+01:00"";5",695
"PM10;""2018-12-03T11:00:00+01:00"";5",675
"PM10;""2018-12-03T11:15:00+01:00"";5",638
"PM10;""2018-12-03T11:30:00+01:00"";5",605
"PM10;""2018-12-03T11:45:00+01:00"";5",561
"PM10;""2018-12-03T12:00:00+01:00"";5",511
"PM10;""2018-12-03T12:15:00+01:00"";5",451
"PM10;""2018-12-03T12:30:00+01:00"";5",398
"PM10;""2018-12-03T12:45:00+01:00"";5",37
"PM10;""2018-12-03T13:00:00+01:00"";5",335
"PM10;""2018-12-03T13:15:00+01:00"";5",287
"PM10;""2018-12-03T13:30:00+01:00"";5",261
"PM10;""2018-12-03T13:45:00+01:00"";5",245
"PM10;""2018-12-03T14:00:00+01:00"";5",222
"PM10;""2018-12-03T14:15:00+01:00"";5",203
"PM10;""2018-12-03T14:30:00+01:00"";5",186
"PM10;""2018-12-03T14:45:00+01:00"";5",151
"PM10;""2018-12-03T15:00:00+01:00"";5",112
"PM10;""2018-12-03T15:15:00+01:00"";5",6
"PM10;""2018-12-03T15:30:00+01:00"";5",17
"PM10;""2018-12-03T15:45:00+01:00"";4",995
"PM10;""2018-12-03T16:00:00+01:00"";4",942
"PM10;""2018-12-03T16:15:00+01:00"";4",922
"PM10;""2018-12-03T16:30:00+01:00"";4",887
"PM10;""2018-12-03T16:45:00+01:00"";4",784
"PM10;""2018-12-03T17:00:00+01:00"";4",751
